,name,rating,review_count,categories,id,location,price,latitude,longitude
14,Walton Spring Park,4.0,1,"[{'alias': 'parks', 'title': 'Parks'}]",9qVya1ASaasYE2NESrUujA,"{'address1': 'Carnegie Way NW', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['Carnegie Way NW', 'Atlanta, GA 30303']}",,33.7587,-84.38885
15,ADios Cafe,4.5,243,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]",CtLkcQFkjdFHVtq2_Qbceg,"{'address1': '180 Walker St SW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['180 Walker St SW', 'Atlanta, GA 30313']}",$$,33.74980120000001,-84.4009361
16,No Mas! Cantina,3.5,937,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",xh7cXbX0hYKg0VucnTjBFw,"{'address1': '180 Walker St SW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['180 Walker St SW', 'Atlanta, GA 30313']}",$$,33.74969,-84.40089
17,Bottle Rocket Fine Food and Beverage,4.0,172,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",0TmdV1bcTG6XBwZ_Scru7A,"{'address1': '180 Walker St SW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['180 Walker St SW', 'Atlanta, GA 30313']}",$$,33.74969,-84.40089
18,McCoughtry's,4.5,27,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]",cGktaWAY97T-4cOUPWftxw,"{'address1': '177 Peters St SW', 'address2': 'Ste C', 'address3': None, 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['177 Peters St SW', 'Ste C', 'Atlanta, GA 30313']}",$,33.7497165,-84.3992306
19,Railside Dog Park,3.0,6,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]",mFPUsWNTZnbH-Jiy5fKFYA,"{'address1': '210 Peters St SW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['210 Peters St SW', 'Atlanta, GA 30313']}",,33.7491074,-84.39955140000001
20,Aviva by Kameel,5.0,1294,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",BSUDAiXd50PAkfFAztVpDw,"{'address1': '225 Peachtree St NE', 'address2': 'Ste B-30', 'address3': 'Peachtree Center Mall', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['225 Peachtree St NE', 'Ste B-30', 'Peachtree Center Mall', 'Atlanta, GA 30303']}",$$,33.760538145529196,-84.38655546480409
21,Atlanta Breakfast Club,4.5,2241,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",GJxFtnTqTiokFedNrW9iDQ,"{'address1': '249 Ivan Allen Jr Blvd', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['249 Ivan Allen Jr Blvd', 'Atlanta, GA 30313']}",$$,33.764871,-84.39545030000001
22,Poor Calvin's,4.5,2671,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",U-i6cq-yFRVJC4pIKSLX9Q,"{'address1': '510 Piedmont Ave NE', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30308', 'country': 'US', 'state': 'GA', 'display_address': ['510 Piedmont Ave NE', 'Atlanta, GA 30308']}",$$,33.7684,-84.38226
23,Georgia Aquarium,4.0,2221,"[{'alias': 'aquariums', 'title': 'Aquariums'}]",W2uLX3tc3YrhKKxEIPRmAw,"{'address1': '225 Baker St', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['225 Baker St', 'Atlanta, GA 30313']}",,33.763046301981504,-84.39479168385309
24,The Food Shoppe,4.5,587,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",23UWCyB8UnPu-0t-67iEKA,"{'address1': '123 Luckie St NW', 'address2': 'Ste 108', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['123 Luckie St NW', 'Ste 108', 'Atlanta, GA 30303']}",$$,33.758312,-84.390376
25,Alma Cocina,4.0,1006,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",wuba10gZw-FUp7iWFQzdqA,"{'address1': '191 Peachtree St NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['191 Peachtree St NE', 'Atlanta, GA 30303']}",$$,33.759156314923,-84.3874444429916
26,Ébrìk Coffee Room,4.5,292,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",FVHhIm3Qgtj1xlOUuD5yXA,"{'address1': '16 Park Pl SE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['16 Park Pl SE', 'Atlanta, GA 30303']}",$,33.755247750486305,-84.3881651478313
27,Gus's World Famous Fried Chicken,4.0,1032,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",ApwmEiStq9aP9-Tf2xfVtA,"{'address1': '231 W Peachtree St NE', 'address2': 'Ste A-05', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['231 W Peachtree St NE', 'Ste A-05', 'Atlanta, GA 30303']}",$$,33.760069,-84.386257
28,Blossom Tree,4.5,286,"[{'alias': 'korean', 'title': 'Korean'}]",JTGjHr9ii1TWq0TNLFkiQw,"{'address1': '64 Peachtree St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['64 Peachtree St NW', 'Atlanta, GA 30303']}",$,33.7554945955001,-84.3891076100377
29,World of Coca-Cola,3.5,1436,"[{'alias': 'museums', 'title': 'Museums'}]",MwXqRRjjpwKoEKZBb78ScQ,"{'address1': '121 Baker St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['121 Baker St NW', 'Atlanta, GA 30313']}",,33.7624049,-84.39204709999998
30,Ted's Montana Grill - Luckie Street,4.0,714,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}]",AUV7Ocno9T8_qPlFeRSziA,"{'address1': '133 Luckie St', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['133 Luckie St', 'Atlanta, GA 30303']}",$$,33.758790000000005,-84.39054
31,Aamar Indian Cuisine,4.5,333,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]",S6pc488qCzUKLGwXDvCUoQ,"{'address1': '100 Luckie St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['100 Luckie St NW', 'Atlanta, GA 30303']}",$$,33.757311,-84.389912
32,Center For Civil and Human Rights,4.5,209,"[{'alias': 'culturalcenter', 'title': 'Cultural Center'}, {'alias': 'museums', 'title': 'Museums'}]",VABySyug7nlb2_1Rnu2YBg,"{'address1': '100 Ivan Allen Jr Blvd', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['100 Ivan Allen Jr Blvd', 'Atlanta, GA 30313']}",,33.7640534322558,-84.39308392435909
33,Twin Smokers BBQ,4.0,780,"[{'alias': 'bbq', 'title': 'Barbeque'}]",vFulipMlcFyN60_SyAhjyA,"{'address1': '300 Marietta St NW', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['300 Marietta St NW', 'Atlanta, GA 30313']}",$$,33.761764246876,-84.3964970011887
34,Sweet Georgia's Juke Joint,3.5,1088,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",JfgsCMKJOCMg1O2iK4ObWA,"{'address1': '200 Peachtree St NE', 'address2': 'Ste L05', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['200 Peachtree St NE', 'Ste L05', 'Atlanta, GA 30303']}",$$,33.7586934669823,-84.387763728836
35,Red Phone Booth,4.5,280,"[{'alias': 'tobaccoshops', 'title': 'Tobacco Shops'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",AKy2zm65mK5bti9kOCNVBA,"{'address1': '17 Andrew Young International Blvd NE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['17 Andrew Young International Blvd NE', 'Atlanta, GA 30303']}",$$,33.7595884927822,-84.386906321299
36,Park Bar,4.0,427,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",58UbC9XukpoPC2fXGIlPiw,"{'address1': '150 Walton St', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['150 Walton St', 'Atlanta, GA 30303']}",$$,33.758113861084,-84.3929214477539
37,Baraka Shawarma,4.0,299,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'indpak', 'title': 'Indian'}]",_BNuP4qFCrUxBt2dGpUMaA,"{'address1': '68 Walton St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['68 Walton St NW', 'Atlanta, GA 30303']}",$,33.7563422479846,-84.39068774254301
38,Herban Fix - Vegan Kitchen,4.5,612,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",uZaT6J821lHMFrfrFno7lg,"{'address1': '565-A Peachtree St NE', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30308', 'country': 'US', 'state': 'GA', 'display_address': ['565-A Peachtree St NE', 'Atlanta, GA 30308']}",$$,33.7700811335769,-84.3849544543691
39,Arepa Mia,4.5,312,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'venezuelan', 'title': 'Venezuelan'}]",nmOa9vxFu32gN-hF6Ejp8A,"{'address1': '209 Edgewood Ave SE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['209 Edgewood Ave SE', 'Atlanta, GA 30303']}",$,33.754076,-84.37996690000001
40,Dua Vietnamese,4.0,369,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'noodles', 'title': 'Noodles'}]",YES12b8B0afEx-SWv-o1nw,"{'address1': '53 Broad St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['53 Broad St NW', 'Atlanta, GA 30303']}",$,33.7555787158321,-84.3893662792789
41,Mary Mac's Tea Room,4.0,3292,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",z9oCxeqOKp2QMfM24m7bUw,"{'address1': '224 Ponce De Leon Ave NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30308', 'country': 'US', 'state': 'GA', 'display_address': ['224 Ponce De Leon Ave NE', 'Atlanta, GA 30308']}",$$,33.772832,-84.379998
42,Ria's Bluebird,4.0,1037,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",iS6Lcx5gic8ijHhsQciv8w,"{'address1': '421 Memorial Dr SE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['421 Memorial Dr SE', 'Atlanta, GA 30312']}",$$,33.7465706,-84.373642
43,Rosa's Pizza,4.0,243,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'italian', 'title': 'Italian'}]",6YCGihzbtV97nM5Nl62qRA,"{'address1': '62 Broad St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['62 Broad St NW', 'Atlanta, GA 30303']}",$,33.75580789999999,-84.3895025
44,Amalfi Pizza,4.0,497,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",Slj9yz_RfDRqiMRH8VxUMQ,"{'address1': '17 Andrew Young International Blvd NE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['17 Andrew Young International Blvd NE', 'Atlanta, GA 30303']}",$$,33.75947,-84.38693
45,Reuben's Deli,4.0,241,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'burgers', 'title': 'Burgers'}]",HN727MkqBRxgTMWVkbHpsw,"{'address1': '57 Broad St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['57 Broad St NW', 'Atlanta, GA 30303']}",$,33.755639475382,-84.3892372748193
48,Nick's Food To Go,4.5,301,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",CzuDIoKI1HvZNZM7Yyw4kA,"{'address1': '240 Martin Luther King Jr Dr SE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['240 Martin Luther King Jr Dr SE', 'Atlanta, GA 30312']}",$,33.7476257271798,-84.3797329408783
49,Truva Turkish Kitchen,4.0,393,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}]",vE6ZtSOEpFWbpl8KmEqv7g,"{'address1': '60 Andrew Young International Blvd NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['60 Andrew Young International Blvd NE', 'Atlanta, GA 30303']}",$$,33.759804200000005,-84.3858369
50,Ray's in the City,4.0,636,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",JIvAjPUZgQFuo4wb_MdvBw,"{'address1': '240 Peachtree St NW', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['240 Peachtree St NW', 'Atlanta, GA 30303']}",$$$,33.7604276519377,-84.38779771423341
51,Buenos Dias Cafe,4.5,143,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",2Tn6H40DE9fqPiHIcoTOKQ,"{'address1': '30 Decatur St SE', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['30 Decatur St SE', 'Atlanta, GA 30303']}",$,33.7538308247238,-84.38862846573379
52,Der Biergarten,4.0,557,"[{'alias': 'german', 'title': 'German'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]",LyizNBLFLB4Qkx_0_8_BaQ,"{'address1': '300 Marietta St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['300 Marietta St NW', 'Atlanta, GA 30313']}",$$,33.7618737192836,-84.39664519819941
53,College Football Hall of Fame,4.5,185,"[{'alias': 'museums', 'title': 'Museums'}]",v3R1x2ZW6g7jBMXb5YZUbQ,"{'address1': '250 Marietta St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['250 Marietta St NW', 'Atlanta, GA 30313']}",,33.760097034070704,-84.3952105732147
54,Kwan's Deli and Korean Kitchen,4.0,299,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",lj1PkEP1jchQzUoy_2s0Rw,"{'address1': '267 Marietta St NW', 'address2': 'Ste 100', 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['267 Marietta St NW', 'Ste 100', 'Atlanta, GA 30313']}",$$,33.7610504378672,-84.3940759761963
55,Agave Restaurant,4.0,771,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}]",vGP_SrEsezeF7MyW7OY3aA,"{'address1': '242 Blvd SE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['242 Blvd SE', 'Atlanta, GA 30312']}",$$,33.748041,-84.368078
57,Miss D's New Orleans Pralines,5.0,105,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'desserts', 'title': 'Desserts'}]",LupfQB58ncS-jRGciM7XXQ,"{'address1': '209 Edgewood Ave SE', 'address2': 'Ste 134', 'address3': 'Sweet Auburn Curb Market', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['209 Edgewood Ave SE', 'Ste 134', 'Sweet Auburn Curb Market', 'Atlanta, GA 30303']}",$,33.75403,-84.3798599
58,Daddy D'z BBQ Joynt,4.0,691,"[{'alias': 'bbq', 'title': 'Barbeque'}]",6EkeHDRJRoojZYRYhEHIQw,"{'address1': '264 Memorial Dr SE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['264 Memorial Dr SE', 'Atlanta, GA 30312']}",$$,33.7469849,-84.3789833
59,Centennial Olympic Park,4.0,313,"[{'alias': 'parks', 'title': 'Parks'}]",gIFLuGFSR0briskbdji5aw,"{'address1': '265 Park Ave NW', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30313', 'country': 'US', 'state': 'GA', 'display_address': ['265 Park Ave NW', 'Atlanta, GA 30313']}",,33.7604246335228,-84.39316366191659
60,Noni's Bar & Deli,4.0,436,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'lounges', 'title': 'Lounges'}]",aO2fVDgBPNTUvPjfRmjTXQ,"{'address1': '357 Edgewood Ave', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['357 Edgewood Ave', 'Atlanta, GA 30312']}",$$,33.7541351318359,-84.3759841918945
61,White Oak Kitchen & Cocktails,3.5,570,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",zARyfr-X5NfwLfwuCa9Whw,"{'address1': '270 Peachtree St NW', 'address2': 'Ste 100', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['270 Peachtree St NW', 'Ste 100', 'Atlanta, GA 30303']}",$$$,33.761916649327304,-84.38785924795421
62,Polaris,4.0,267,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",7hdnCKFbCl5P0G3l1-E2mw,"{'address1': '265 Peachtree St NE', 'address2': '', 'address3': 'Hyatt Regency', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['265 Peachtree St NE', 'Hyatt Regency', 'Atlanta, GA 30303']}",$$$,33.7613764442732,-84.3866796520455
63,Martin Luther King Jr Center,4.5,219,"[{'alias': 'museums', 'title': 'Museums'}]",izIJhQ6l-pDww6EOt93spw,"{'address1': '449 Auburn Ave NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['449 Auburn Ave NE', 'Atlanta, GA 30312']}",,33.7550316,-84.3730011
